rank,session_id,player_name,floor_reached,kills,max_combo,duration_sec
1,test_winner,SpeedRunner,20,100,8,180.0
2,c8afd681,dhbu,20,162,10,260.7
3,66f882e5,io,20,162,10,272.7
4,058f807a,058f807a,20,167,10,276.0
5,9a29bec6,tyui,20,164,10,301.5
6,2558be52,2558be52,20,163,10,305.6
7,a72fb4b9,a72fb4b9,20,166,10,314.1
8,a011b1d6,a011b1d6,20,164,10,323.4
9,7e5f9d04,7e5f9d04,20,163,10,354.2
10,005ae58d,jkl,20,160,10,467.9
11,945d3c26,945d3c26,20,166,10,2118.6
12,8e1451e3,ghujkl;,19,157,10,263.1
13,3cd4f326,67,19,155,10,268.7
14,4f27deed,ijp\\,18,150,10,474.6
15,a12b277d,jk,17,130,10,225.4
16,93c7b514,6,17,126,10,233.5
17,126e558e,yuio,16,121,10,255.4
18,32429674,yui,16,119,10,387.4
19,15e7e4c2,asdknjwnl],14,111,10,187.4
20,f7a07145,iwjd,14,109,10,237.6
21,d7623589,uoiuo,14,114,10,243.3
22,8b5fca3b,676767,12,84,10,164.3
23,90fb2456,rkgfd,11,67,10,149.8
24,ed29e80a,gyhuio,8,42,8,90.6
25,dabb63e5,awjd,8,59,10,105.0
26,0e7233d8,wjkla,7,38,8,97.7
27,2a376ff6,ertyuio,7,34,7,102.5
28,3fe8646d,hjkl,7,38,9,123.8
29,08e66540,bnmkl,6,26,5,60.0
30,500dbfb6,jkkp,6,30,6,62.7
31,cbcd2249,ertyuji,6,24,7,65.1
32,473b8c24,aniw,6,23,6,66.9
33,1d612135,jkl;,6,24,8,70.1
34,cf78812f,tuy,6,32,8,175.3
35,3a409b26,67,6,23,8,275.6
36,8f8c8dd6,jkl;,4,22,6,42.5
37,dc092ca2,julkm;l,4,20,7,46.5
38,2ab0bf05,676766978,4,15,6,49.5
39,ec06570d,jkl,4,19,6,51.2
40,1e8ad84d,5rfuyg,4,25,6,70.8
41,293134e7,ebebJJ,3,11,7,25.7
42,b6cc2a9d,hjkl;,3,14,5,26.4
43,bb525aea,wertyuio,3,13,7,27.2
44,80480b38,a,3,13,5,31.2
45,27ce40db,oij,3,12,5,32.2
46,712c9d72,hjk,3,9,4,38.1
47,1096cb0b,sf,2,3,2,11.4
48,fb283c0f,nei,2,5,3,12.0
49,772c715d,awjklw;',2,3,2,13.0
50,8c22bdd2,ourhwijpokpdl,2,3,3,13.3
51,fcd0414f,hjk,2,9,6,18.6
52,1920914d,hjk,2,5,2,24.8
